"Supplementary Table 2: Drug-drug interactions detected in the screen. Drug interactions, their conservation across strains and across species, and whether they were probed for all or only part of the species. Interaction sign is “synergy” or “antagonism” in case of strong interactions, “NA” otherwise. Corresponding p-values and interactions scores are provided.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Drug combination,,Conservation across species,Class-Class,Conservation across strains,,,Interacion sign,,,,,,Interacion score,,,,,,p-value,,,,,,Species conflict,Species probed
,CCCP,Colistin,ECST,LPS_PMF,weak_conserved,weak_conserved,NA,Synergy,NA,Synergy,NA,NA,NA,-0.51686063,-0.406252095,-0.800167807,-0.531254863,NA,NA,0.004098642,NA,0.001768535,NA,NA,NA,no_conflict,ECSTPA
,Caffeine,Acetylsalisylic acid,ECST,food additive_human drug,not_conserved,weak_conserved,NA,Synergy,NA,Synergy,NA,NA,NA,-0.106406054,0.02230812,-0.144139688,-0.082588827,NA,NA,0.019773113,NA,0.027345882,NA,NA,NA,no_conflict,ECSTPA
,Bleomycin,Colistin,ECST,multiple_LPS,conserved,weak_conserved,NA,Synergy,Synergy,NA,Synergy,NA,NA,-0.633007288,-0.477161213,-0.229569503,-0.382546021,NA,NA,0.001666307,0.040128658,NA,0.047713849,NA,NA,no_conflict,ECSTPA
,Bleomycin,Streptozotocin,ECST,multiple_human drug,weak_conserved,conserved,NA,Synergy,NA,Synergy,Synergy,NA,NA,-0.24077915,-0.061188863,-0.458268032,-0.180115418,NA,NA,0.002956627,NA,0.001768535,0.003743781,NA,NA,no_conflict,ECSTPA
,Cerulenin,Colistin,ECST,LPS_fatty acid biosynthesis,weak_conserved,conserved,NA,Synergy,NA,Synergy,Synergy,NA,NA,-0.573757915,-0.071911328,-0.249972712,-0.366735079,NA,NA,0.038681755,NA,0.003167815,0.021620338,NA,NA,no_conflict,ECSTPA
,Chloramphenicol,CHIR-90,ECST,LPS_other protein synthesis inhibitor,not_comparable,weak_conserved,NA,Synergy,NA,NA,Synergy,NA,NA,-0.499977021,0.154655375,-0.25792917,-0.156384017,NA,NA,0.037737317,NA,NA,0.015374463,NA,NA,no_conflict,ECSTPA
,Bacitracin,CHIR-90,ECST,other cell wall_LPS,conserved,conserved,NA,Synergy,Synergy,Synergy,Synergy,NA,NA,-0.547153696,-0.243468746,-0.822752544,-0.470242657,NA,NA,0.014348339,0.006382388,0.019204746,0.002167452,NA,NA,no_conflict,ECSTPA
,Fusidic acid,CHIR-90,ECST,LPS_other protein synthesis inhibitor,conserved,conserved,NA,Synergy,Synergy,Synergy,Synergy,NA,NA,-0.482980145,-0.614364889,-0.82602969,-0.574041365,NA,NA,0.044950759,0.001813026,0.04380092,0.002167452,NA,NA,no_conflict,ECSTPA
,Verapamil,CHIR-90,ECST,LPS_human drug,conserved,weak_conserved,NA,Synergy,Synergy,NA,Synergy,NA,NA,-0.516641903,-0.343737983,-0.197698707,-0.393577918,NA,NA,0.025469742,0.001463305,NA,0.002167452,NA,NA,no_conflict,ECSTPA
,A22,Meropenem,ECST,beta-lactam_other cell wall,weak_conserved,weak_conserved,NA,Synergy,NA,NA,Synergy,NA,NA,-0.336699351,-0.215070783,-0.219074205,-0.423964446,NA,NA,0.040889528,NA,NA,0.033978731,NA,NA,no_conflict,ECSTPA
,Clarithromycin,CHIR-90,ECST,LPS_macrolide,conserved,weak_conserved,NA,Synergy,Synergy,NA,Synergy,NA,NA,-0.442510406,-0.320801168,-0.171677193,-0.324636672,NA,NA,0.045465588,0.001463305,NA,0.006370634,NA,NA,no_conflict,ECSTPA
,Chloramphenicol,Cerulenin,ECST,fatty acid biosynthesis_other protein synthesis inhibitor,conserved,not_conserved,NA,Antagonism,Antagonism,Antagonism,NA,NA,NA,0.117127235,0.150738258,0.121663826,0.056355502,NA,NA,0.005217578,0.001463305,0.033447983,NA,NA,NA,no_conflict,ECSTPA
,Ciprofloxacin,Vanillin,ECST,quinolones_food additive,conserved,conserved,NA,Antagonism,Antagonism,Antagonism,Antagonism,NA,NA,0.466759742,0.675869386,0.320441169,0.755311193,NA,NA,0.001666307,0.001463305,0.001768535,0.001932534,NA,NA,no_conflict,ECSTPA
,Cycloserine D,Benzalkonium,ECST,other cell wall_other membrane,conserved,not_conserved,NA,Antagonism,Antagonism,Antagonism,NA,NA,NA,0.176883107,0.16289892,0.374363083,0.031222283,NA,NA,0.001666307,0.010822467,0.02725941,NA,NA,NA,no_conflict,ECSTPA
,Doxycycline,Fosfomycin,ECST,other cell wall_tetracycline,conserved,weak_conserved,NA,Antagonism,Antagonism,Antagonism,NA,NA,NA,0.482518251,0.491957181,0.104578072,0.106950657,NA,NA,0.001666307,0.001463305,0.003167815,NA,NA,NA,no_conflict,ECSTPA
,Doxycycline,Trimethoprim,ECST,folic acid biosynthesis_tetracycline,conserved,conserved,NA,Antagonism,Antagonism,Antagonism,Antagonism,NA,NA,0.186937777,0.103076619,0.122674513,0.15481405,NA,NA,0.002956627,0.004486711,0.001768535,0.002167452,NA,NA,no_conflict,ECSTPA
,Doxycycline,Vanillin,ECST,tetracycline_food additive,conserved,weak_conserved,NA,Antagonism,Antagonism,NA,Antagonism,NA,NA,0.212281503,0.443336955,0.064043455,0.162430041,NA,NA,0.001666307,0.001463305,NA,0.002167452,NA,NA,no_conflict,ECSTPA
,Doxycycline,Mecillinam,ECST,beta-lactam_tetracycline,conserved,conserved,NA,Antagonism,Antagonism,Antagonism,Antagonism,NA,NA,0.232941725,0.333431545,0.426536072,0.261288096,NA,NA,0.001666307,0.001463305,0.001661372,0.002167452,NA,NA,no_conflict,ECSTPA
,Doxycycline,Imipenem,ECST,beta-lactam_tetracycline,conserved,weak_conserved,NA,Antagonism,Antagonism,NA,Antagonism,NA,NA,0.213706246,0.260199936,0.090229058,0.17255408,NA,NA,0.001666307,0.004305125,NA,0.005087138,NA,NA,no_conflict,ECSTPA
,Doxycycline,Cerulenin,ECST,fatty acid biosynthesis_tetracycline,conserved,conserved,NA,Antagonism,Antagonism,Antagonism,Antagonism,NA,NA,0.166082903,0.181187136,0.106201242,0.121958167,NA,NA,0.001666307,0.001463305,0.009429431,0.019543808,NA,NA,no_conflict,ECSTPA
,Spectinomycin,Erythromycin,ECST,aminoglycoside_macrolide,weak_conserved,weak_conserved,NA,Antagonism,NA,Antagonism,NA,NA,NA,0.151365139,0.103170175,0.122492686,0.077969868,NA,NA,0.002956627,NA,0.037875045,NA,NA,NA,no_conflict,ECSTPA
,Spectinomycin,Trimethoprim,ECST,folic acid biosynthesis_aminoglycoside,weak_conserved,not_comparable,NA,Antagonism,NA,Antagonism,NA,NA,NA,0.14438749,0.092911312,0.129234414,0.05312382,NA,NA,0.005217578,NA,0.001768535,NA,NA,NA,no_conflict,ECSTPA
,Spectinomycin,Metformin,ECST,aminoglycoside_human drug,weak_conserved,weak_conserved,NA,Antagonism,NA,Antagonism,NA,NA,NA,0.1745947,0.116111496,0.137907287,0.088758268,NA,NA,0.004098642,NA,0.017321015,NA,NA,NA,no_conflict,ECSTPA
,Spectinomycin,Phleomycin,ECST,multiple_aminoglycoside,conserved,conserved,NA,Antagonism,Antagonism,Antagonism,Antagonism,NA,NA,0.154053989,0.155488528,0.283953542,0.178274281,NA,NA,0.008407909,0.019818643,0.001768535,0.011087353,NA,NA,no_conflict,ECSTPA
,Oxacillin,Benzalkonium,ECST,beta-lactam_other membrane,weak_conserved,not_conserved,NA,Antagonism,NA,Antagonism,NA,NA,NA,0.123158861,0.06265873,0.312522665,0.035143894,NA,NA,0.011439332,NA,0.048884,NA,NA,NA,no_conflict,ECSTPA
,Novobiocin,Cerulenin,ECST,other DNA_fatty acid biosynthesis,conserved,not_comparable,NA,Antagonism,Antagonism,NA,Antagonism,NA,NA,0.110739631,0.73512978,0.051501721,0.490944836,NA,NA,0.04026645,0.001463305,NA,0.002167452,NA,NA,no_conflict,ECSTPA
,Novobiocin,Curcumin,ECST,other DNA_food additive,conserved,not_comparable,NA,Antagonism,Antagonism,NA,Antagonism,NA,NA,0.261650653,0.457743182,0.053237902,0.3703378,NA,NA,0.001666307,0.001463305,NA,0.037093717,NA,NA,no_conflict,ECSTPA
,Amikacin,Benzalkonium,ECST,other membrane_aminoglycoside,weak_conserved,conserved,NA,Antagonism,NA,Antagonism,Antagonism,NA,NA,0.401124813,0.0822675,0.294531585,0.28742906,NA,NA,0.001666307,NA,0.001768535,0.012147357,NA,NA,no_conflict,ECSTPA
,Cefaclor,Procaine,ECST,beta-lactam_human drug,weak_conserved,conserved,NA,Antagonism,NA,Antagonism,Antagonism,NA,NA,0.166000739,0.065022161,0.13135208,0.240984415,NA,NA,0.001666307,NA,0.010482588,0.002167452,NA,NA,no_conflict,ECSTPA
,Cefaclor,Vanillin,ECST,beta-lactam_food additive,conserved,weak_conserved,NA,Antagonism,Antagonism,Antagonism,NA,NA,NA,0.107433687,0.341779727,0.447415046,0.100617142,NA,NA,0.005217578,0.001306049,0.005683642,NA,NA,NA,no_conflict,ECSTPA
,Clindamycin,Clarithromycin,ECST,other protein synthesis inhibitor_macrolide,weak_conserved,not_conserved,NA,Antagonism,NA,NA,Antagonism,NA,NA,0.10015673,0.066020939,0.05798305,0.100663831,NA,NA,0.044279898,NA,NA,0.007468165,NA,NA,no_conflict,ECSTPA
,Paraquat,CHIR-90,ECST,LPS_oxidative stress,conserved,conserved,NA,Antagonism,Antagonism,Antagonism,Antagonism,NA,NA,0.490560052,0.612597441,0.83747677,0.509482335,NA,NA,0.001666307,0.001463305,0.033722288,0.01393959,NA,NA,no_conflict,ECSTPA
,Procaine,Aztreonam,ECST,beta-lactam_human drug,conserved,conserved,NA,Antagonism,Antagonism,Antagonism,Antagonism,NA,NA,0.447644975,0.310105009,0.42339975,0.573961433,NA,NA,0.001666307,0.001463305,0.001768535,0.002167452,NA,NA,no_conflict,ECSTPA
,Procaine,Gentamicin,ECST,aminoglycoside_human drug,weak_conserved,weak_conserved,NA,Antagonism,NA,Antagonism,NA,NA,NA,0.564247398,0.17950392,0.681990291,0.159489935,NA,NA,0.001666307,NA,0.001768535,NA,NA,NA,no_conflict,ECSTPA
,Levofloxacin,Acetylsalisylic acid,ECST,quinolones_human drug,conserved,weak_conserved,NA,Antagonism,Antagonism,Antagonism,NA,NA,NA,0.605097282,0.468387338,0.553961866,0.666126781,NA,NA,0.001666307,0.001463305,0.004468519,NA,NA,NA,no_conflict,ECSTPA
,Mecillinam,Metformin,ECST,beta-lactam_human drug,weak_conserved,weak_conserved,NA,Antagonism,NA,NA,Antagonism,NA,NA,0.414384026,0.140236468,0.674525954,0.254120239,NA,NA,0.001666307,NA,NA,0.010039295,NA,NA,no_conflict,ECSTPA
,EGCG,Phleomycin,ECST,multiple_fatty acid biosynthesis,conserved,conserved,NA,Antagonism,Antagonism,Antagonism,Antagonism,NA,NA,0.217201721,0.198949627,0.357135984,0.125141095,NA,NA,0.001666307,0.002551072,0.001768535,0.025675975,NA,NA,no_conflict,ECSTPA
,Rifampicin,Aztreonam,ECST,beta-lactam_RNA polymerase,conserved,not_conserved,NA,Antagonism,Antagonism,Antagonism,NA,NA,NA,0.238189882,0.253984217,0.244356608,-0.027165584,NA,NA,0.001666307,0.001463305,0.001661372,NA,NA,NA,no_conflict,ECSTPA
,Aztreonam,Caffeine,ECST,beta-lactam_food additive,weak_conserved,weak_conserved,NA,Antagonism,NA,NA,Antagonism,NA,NA,0.417511658,0.067802081,0.14059663,0.151962305,NA,NA,0.001666307,NA,NA,0.012295927,NA,NA,no_conflict,ECSTPA
,Aztreonam,Acetylsalisylic acid,ECST,beta-lactam_human drug,conserved,conserved,NA,Antagonism,Antagonism,Antagonism,Antagonism,NA,NA,0.636408414,0.676347683,0.553683812,0.702076534,NA,NA,0.001666307,0.001463305,0.001768535,0.042934004,NA,NA,no_conflict,ECSTPA
,Clarithromycin,Bleomycin,ECST,multiple_macrolide,weak_conserved,not_conserved,NA,Antagonism,NA,Antagonism,NA,NA,NA,0.152980652,0.116306021,0.109994508,0.049417495,NA,NA,0.001666307,NA,0.017321015,NA,NA,NA,no_conflict,ECSTPA
,Clarithromycin,Phleomycin,ECST,multiple_macrolide,weak_conserved,conserved,NA,Antagonism,NA,Antagonism,Antagonism,NA,NA,0.174516597,0.065107297,0.223594107,0.131711005,NA,NA,0.035915753,NA,0.036166863,0.047713849,NA,NA,no_conflict,ECSTPA
,Cerulenin,CHIR-90,ECST,LPS_fatty acid biosynthesis,conserved,conserved,NA,Antagonism,Antagonism,Antagonism,Antagonism,NA,NA,0.890493204,0.748993512,0.9966773,0.503565832,NA,NA,0.001666307,0.001463305,0.003167815,0.009018492,NA,NA,no_conflict,ECSTPA
,Ciprofloxacin,Paraquat,ECST,quinolones_oxidative stress,conserved,conserved,NA,Antagonism,Antagonism,Antagonism,Antagonism,NA,NA,0.399411061,0.260262911,0.297229512,0.72758547,NA,NA,0.005945218,0.003544318,0.001768535,0.001932534,NA,NA,no_conflict,ECSTPA
,Vanillin,CCCP,ECST,PMF_food additive,conserved,conserved,NA,Antagonism,Antagonism,Antagonism,Antagonism,NA,NA,0.126430101,0.14665121,0.139394496,0.111714342,NA,NA,0.038071903,0.001306049,0.001768535,0.007468165,NA,NA,no_conflict,ECSTPA
,Vanillin,Moxifloxacin,ECST,quinolones_food additive,conserved,not_conserved,NA,Antagonism,Antagonism,NA,Antagonism,NA,NA,0.370098465,0.250167322,0.039888432,0.318227239,NA,NA,0.02194326,0.003544318,NA,0.015374463,NA,NA,no_conflict,ECSTPA
,EGCG,Moxifloxacin,ECST,quinolones_fatty acid biosynthesis,conserved,not_conserved,NA,Antagonism,Antagonism,NA,Antagonism,NA,NA,0.345371883,0.23726891,0.041320578,0.596162537,NA,NA,0.024137586,0.001463305,NA,0.041116053,NA,NA,no_conflict,ECSTPA
,Cycloserine D,Piperacillin,ECST,beta-lactam_other cell wall,weak_conserved,conserved,NA,NA,Synergy,Synergy,Synergy,NA,NA,-0.144388666,-0.299334721,-0.636285605,-0.482330474,NA,NA,NA,0.005418631,0.001768535,0.036300814,NA,NA,no_conflict,ECSTPA
,Doxycycline,Azithromycin,ECST,tetracycline_macrolide,weak_conserved,not_conserved,NA,NA,Synergy,Synergy,NA,NA,NA,-0.083938836,-0.249736558,-0.260461656,0.069332689,NA,NA,NA,0.018245011,0.035364122,NA,NA,NA,no_conflict,ECSTPA
,Fosfomycin,Bacitracin,ECST,other cell wall_other cell wall,not_conserved,weak_conserved,NA,NA,Synergy,Synergy,NA,NA,NA,0.090625029,-0.294694571,-0.143393366,-0.075209303,NA,NA,NA,0.001463305,0.005913255,NA,NA,NA,no_conflict,ECSTPA
,Fosfomycin,Piperacillin,ECST,beta-lactam_other cell wall,weak_conserved,weak_conserved,NA,NA,Synergy,Synergy,NA,NA,NA,-0.097494755,-0.294305731,-0.20345176,-0.175558805,NA,NA,NA,0.001463305,0.001768535,NA,NA,NA,no_conflict,ECSTPA
,Novobiocin,Cefsulodin,ECST,beta-lactam_other DNA,weak_conserved,weak_conserved,NA,NA,Synergy,NA,Synergy,NA,NA,-0.107742293,-0.137231096,-0.068013644,-0.204662476,NA,NA,NA,0.005418631,NA,0.002167452,NA,NA,no_conflict,ECSTPA
,Novobiocin,A22,ECST,other cell wall_other DNA,weak_conserved,not_comparable,NA,NA,Synergy,NA,Synergy,NA,NA,-0.104017215,-0.200428236,-0.037197669,-0.229780853,NA,NA,NA,0.001463305,NA,0.01747098,NA,NA,no_conflict,ECSTPA
,Novobiocin,Bleomycin,ECST,other DNA_multiple,weak_conserved,not_comparable,NA,NA,Synergy,NA,Synergy,NA,NA,-0.17835672,-0.275141067,-0.05854599,-0.276388353,NA,NA,NA,0.001463305,NA,0.002167452,NA,NA,no_conflict,ECSTPA
,Polymyxin B,CCCP,ECST,LPS_PMF,weak_conserved,weak_conserved,NA,NA,Synergy,NA,Synergy,NA,NA,-0.082089584,-0.169602853,-0.098647127,-0.437255644,NA,NA,NA,0.009135354,NA,0.002167452,NA,NA,no_conflict,ECSTPA
,Fusidic acid,CCCP,ECST,PMF_other protein synthesis inhibitor,weak_conserved,not_conserved,NA,NA,Synergy,NA,Synergy,NA,NA,-0.08833728,-0.149643371,0.026958119,-0.150812009,NA,NA,NA,0.036033897,NA,0.002167452,NA,NA,no_conflict,ECSTPA
,Cefotaxime,Cefaclor,ECST,beta-lactam_beta-lactam,weak_conserved,weak_conserved,NA,NA,Synergy,NA,Synergy,NA,NA,-0.091854508,-0.205169976,-0.09547083,-0.235809292,NA,NA,NA,0.001463305,NA,0.001836122,NA,NA,no_conflict,ECSTPA
,Spiramycin,CHIR-90,ECST,LPS_macrolide,weak_conserved,weak_conserved,NA,NA,Synergy,NA,Synergy,NA,NA,-0.252561406,-0.276693044,-0.206995309,-0.367133172,NA,NA,NA,0.001463305,NA,0.002167452,NA,NA,no_conflict,ECSTPA
,Erythromycin,CHIR-90,ECST,LPS_macrolide,weak_conserved,weak_conserved,NA,NA,Synergy,NA,Synergy,NA,NA,-0.290809977,-0.275795728,-0.139429194,-0.291553438,NA,NA,NA,0.001463305,NA,0.003743781,NA,NA,no_conflict,ECSTPA
,Paraquat,Imipenem,ECST,beta-lactam_oxidative stress,weak_conserved,weak_conserved,NA,NA,Synergy,Synergy,NA,NA,NA,-0.086831695,-0.112153926,-0.184390594,-0.096952068,NA,NA,NA,0.020590798,0.001768535,NA,NA,NA,no_conflict,ECSTPA
,Vanillin,Ciclopirox,ECST,food additive_human drug,weak_conserved,weak_conserved,NA,NA,Synergy,Synergy,NA,NA,NA,-0.207652363,-0.13272791,-0.267220242,-0.076423225,NA,NA,NA,0.040831611,0.007031004,NA,NA,NA,no_conflict,ECSTPA
,Vanillin,Phleomycin,ECST,multiple_food additive,weak_conserved,conserved,NA,NA,Synergy,Synergy,Synergy,NA,NA,-0.126403573,-0.179240538,-0.261324823,-0.427188711,NA,NA,NA,0.021287717,0.022355724,0.002167452,NA,NA,no_conflict,ECSTPA
,Verapamil,Chlorhexidine,ECST,LPS_human drug,weak_conserved,conserved,NA,NA,Synergy,Synergy,Synergy,NA,NA,-0.086740814,-0.153530258,-0.832326189,-0.480087562,NA,NA,NA,0.001463305,0.011530847,0.003743781,NA,NA,no_conflict,ECSTPA
,Piperacillin,Meropenem,ECST,beta-lactam_beta-lactam,weak_conserved,weak_conserved,NA,NA,Synergy,NA,Synergy,NA,NA,-0.073097917,-0.161554188,-0.296475539,-0.542845315,NA,NA,NA,0.04972872,NA,0.001836122,NA,NA,no_conflict,ECSTPA
,Piperacillin,CHIR-90,ECST,beta-lactam_LPS,weak_conserved,weak_conserved,NA,NA,Synergy,Synergy,NA,NA,NA,-0.099473209,-0.50417301,-0.549468835,-0.306228684,NA,NA,NA,0.001463305,0.010669303,NA,NA,NA,no_conflict,ECSTPA
,Loperamide,Chlorhexidine,ECST,LPS_human drug,weak_conserved,weak_conserved,NA,NA,Synergy,Synergy,NA,NA,NA,-0.089636464,-0.104978636,-0.855218809,-0.56063525,NA,NA,NA,0.016847017,0.010482588,NA,NA,NA,no_conflict,ECSTPA
,Metronidazole,Mitomycin C,ECST,other DNA_other DNA,weak_conserved,not_comparable,NA,NA,Synergy,Synergy,NA,NA,NA,-0.090526141,-0.112586829,-0.115071455,0.037630994,NA,NA,NA,0.002551072,0.003167815,NA,NA,NA,no_conflict,ECSTPA
,Rifampicin,CHIR-90,ECST,RNA polymerase_LPS,weak_conserved,conserved,NA,NA,Synergy,Synergy,Synergy,NA,NA,-0.349474339,-0.55469716,-0.72923959,-0.921394396,NA,NA,NA,0.02934497,0.025367863,0.002167452,NA,NA,no_conflict,ECSTPA
,Bleomycin,CHIR-90,ECST,multiple_LPS,weak_conserved,weak_conserved,NA,NA,Synergy,NA,Synergy,NA,NA,-0.198614037,-0.401289067,-0.578080365,-0.40334494,NA,NA,NA,0.001463305,NA,0.002167452,NA,NA,no_conflict,ECSTPA
,Doxycycline,Rifampicin,ECST,RNA polymerase_tetracycline,weak_conserved,conserved,NA,NA,Synergy,Synergy,Synergy,NA,NA,-0.196073573,-0.32338823,-0.211766309,-0.329066765,NA,NA,NA,0.014596009,0.001768535,0.003743781,NA,NA,no_conflict,ECSTPA
,Doxycycline,CHIR-90,ECST,LPS_tetracycline,weak_conserved,conserved,NA,NA,Synergy,Synergy,Synergy,NA,NA,-0.283413429,-0.357626411,-0.782771955,-0.340024884,NA,NA,NA,0.011429254,0.022249401,0.002167452,NA,NA,no_conflict,ECSTPA
,Novobiocin,Amikacin,ECST,other DNA_aminoglycoside,weak_conserved,weak_conserved,NA,NA,Synergy,NA,Synergy,NA,NA,-0.116473372,-0.178617556,-0.060326043,-0.124214353,NA,NA,NA,0.004600072,NA,0.005087138,NA,NA,no_conflict,ECSTPA
,Amikacin,Levofloxacin,ECST,quinolones_aminoglycoside,not_conserved,conserved,NA,NA,Synergy,Synergy,Synergy,NA,NA,-0.044191329,-0.170397223,-0.364328218,-0.420785489,NA,NA,NA,0.01038815,0.008390423,0.003313462,NA,NA,no_conflict,ECSTPA
,Clindamycin,CHIR-90,ECST,LPS_other protein synthesis inhibitor,weak_conserved,weak_conserved,NA,NA,Synergy,NA,Synergy,NA,NA,-0.222551854,-0.23620357,-0.069009948,-0.240419939,NA,NA,NA,0.011429254,NA,0.002167452,NA,NA,no_conflict,ECSTPA
,Chloramphenicol,Trimethoprim,ECST,folic acid biosynthesis_other protein synthesis inhibitor,weak_conserved,conserved,NA,NA,Antagonism,Antagonism,Antagonism,NA,NA,0.118255356,0.154370017,0.109468283,0.130620877,NA,NA,NA,0.001463305,0.014975126,0.033134618,NA,NA,no_conflict,ECSTPA
,Chloramphenicol,Mitomycin C,ECST,other DNA_other protein synthesis inhibitor,weak_conserved,weak_conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,0.075799215,0.201503916,0.160295338,0.069856543,NA,NA,NA,0.001463305,0.001768535,NA,NA,NA,no_conflict,ECSTPA
,Doxycycline,Phleomycin,ECST,multiple_tetracycline,weak_conserved,weak_conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,0.084380358,0.182374154,0.275756575,0.127503421,NA,NA,NA,0.007206779,0.038668622,NA,NA,NA,no_conflict,ECSTPA
,Spectinomycin,Novobiocin,ECST,other DNA_aminoglycoside,weak_conserved,not_comparable,NA,NA,Antagonism,NA,Antagonism,NA,NA,0.1115619,0.178118543,-0.067953655,0.28099274,NA,NA,NA,0.001463305,NA,0.002167452,NA,NA,no_conflict,ECSTPA
,Novobiocin,Paraquat,ECST,other DNA_oxidative stress,weak_conserved,not_comparable,NA,NA,Antagonism,NA,Antagonism,NA,NA,0.10454787,0.686287333,-0.052687727,0.27414272,NA,NA,NA,0.001463305,NA,0.002167452,NA,NA,no_conflict,ECSTPA
,Novobiocin,Procaine,ECST,other DNA_human drug,weak_conserved,not_comparable,NA,NA,Antagonism,NA,Antagonism,NA,NA,0.091737937,0.281491403,0.040868167,0.209628565,NA,NA,NA,0.001463305,NA,0.002167452,NA,NA,no_conflict,ECSTPA
,Novobiocin,Vanillin,ECST,other DNA_food additive,weak_conserved,not_comparable,NA,NA,Antagonism,NA,Antagonism,NA,NA,0.076700459,0.693063515,0.046025125,0.285536526,NA,NA,NA,0.001463305,NA,0.002167452,NA,NA,no_conflict,ECSTPA
,Novobiocin,Nitrofurantoin,ECST,other DNA_multiple,not_comparable,not_comparable,NA,NA,Antagonism,NA,Antagonism,NA,NA,0.057471331,0.369849695,-0.038612158,0.214119068,NA,NA,NA,0.001463305,NA,0.002167452,NA,NA,no_conflict,ECSTPA
,Novobiocin,Clarithromycin,ECST,other DNA_macrolide,not_conserved,not_comparable,NA,NA,Antagonism,NA,Antagonism,NA,NA,0.052839399,0.154153412,0.038574323,0.236704849,NA,NA,NA,0.003544318,NA,0.002167452,NA,NA,no_conflict,ECSTPA
,Novobiocin,Reserpine,ECST,other DNA_human drug,not_comparable,weak_conserved,NA,NA,Antagonism,NA,Antagonism,NA,NA,0.039267287,0.175763309,0.063602628,0.130125105,NA,NA,NA,0.049084011,NA,0.005087138,NA,NA,no_conflict,ECSTPA
,Fusidic acid,Mitomycin C,ECST,other DNA_other protein synthesis inhibitor,not_comparable,weak_conserved,NA,NA,Antagonism,NA,Antagonism,NA,NA,-0.104401955,0.123518702,0.127224615,0.144975638,NA,NA,NA,0.027869116,NA,0.002167452,NA,NA,no_conflict,ECSTPA
,Benzalkonium,Gentamicin,ECST,other membrane_aminoglycoside,weak_conserved,weak_conserved,NA,NA,Antagonism,NA,Antagonism,NA,NA,0.359309136,0.318888448,0.224323221,0.383985889,NA,NA,NA,0.003544318,NA,0.048926853,NA,NA,no_conflict,ECSTPA
,Trimethoprim,Procaine,ECST,folic acid biosynthesis_human drug,weak_conserved,conserved,NA,NA,Antagonism,Antagonism,Antagonism,NA,NA,0.092592459,0.18856627,0.143039773,0.18401829,NA,NA,NA,0.001463305,0.001768535,0.002167452,NA,NA,no_conflict,ECSTPA
,Trimethoprim,Aztreonam,ECST,beta-lactam_folic acid biosynthesis,weak_conserved,weak_conserved,NA,NA,Antagonism,NA,Antagonism,NA,NA,0.110201345,0.240060197,0.071394699,0.125510127,NA,NA,NA,0.001463305,NA,0.002167452,NA,NA,no_conflict,ECSTPA
,Trimethoprim,Penicillin G,ECST,beta-lactam_folic acid biosynthesis,not_comparable,not_comparable,NA,NA,Antagonism,NA,Antagonism,NA,NA,-0.075644948,0.10892675,-0.054725617,0.10066855,NA,NA,NA,0.004486711,NA,0.006370634,NA,NA,no_conflict,ECSTPA
,Trimethoprim,Puromycin,ECST,folic acid biosynthesis_other protein synthesis inhibitor,weak_conserved,conserved,NA,NA,Antagonism,Antagonism,Antagonism,NA,NA,0.12749971,0.14192779,0.155250499,0.167079063,NA,NA,NA,0.001463305,0.001768535,0.002167452,NA,NA,no_conflict,ECSTPA
,Trimethoprim,Azithromycin,ECST,folic acid biosynthesis_macrolide,weak_conserved,weak_conserved,NA,NA,Antagonism,NA,Antagonism,NA,NA,0.087373399,0.188878654,0.123727413,0.169797405,NA,NA,NA,0.002551072,NA,0.003743781,NA,NA,no_conflict,ECSTPA
,Trimethoprim,Curcumin,ECST,folic acid biosynthesis_food additive,weak_conserved,weak_conserved,NA,NA,Antagonism,NA,Antagonism,NA,NA,0.102200928,0.285944286,0.105865133,0.186474608,NA,NA,NA,0.001463305,NA,0.012295927,NA,NA,no_conflict,ECSTPA
,Paraquat,Mitomycin C,ECST,other DNA_oxidative stress,weak_conserved,weak_conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,0.088586653,0.235659885,0.328265757,0.088723907,NA,NA,NA,0.001463305,0.001768535,NA,NA,NA,no_conflict,ECSTPA
,Paraquat,Azithromycin,ECST,oxidative stress_macrolide,weak_conserved,weak_conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,0.085097435,0.136773071,0.251322662,0.072809482,NA,NA,NA,0.004486711,0.003167815,NA,NA,NA,no_conflict,ECSTPA
,Paraquat,Moxifloxacin,ECST,quinolones_oxidative stress,weak_conserved,weak_conserved,NA,NA,Antagonism,NA,Antagonism,NA,NA,0.416172406,0.468008054,0.201821679,0.595949773,NA,NA,NA,0.001463305,NA,0.005087138,NA,NA,no_conflict,ECSTPA
,Mecillinam,Rifampicin,ECST,beta-lactam_RNA polymerase,weak_conserved,conserved,NA,NA,Antagonism,Antagonism,Antagonism,NA,NA,0.132687477,0.295773878,0.315670513,0.242164792,NA,NA,NA,0.001463305,0.005683642,0.005087138,NA,NA,no_conflict,ECSTPA
